,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent
65,Iceland,"1,727",7,8 ,,"1,077",642,8,"5,061",23,"37,386","109,558",Europe
66,Bahrain,"1,671",143,7 ,,663,"1,001",3,982,4,"72,647","42,694",Asia
67,Hungary,"1,579",67,134 ,12,192,"1,253",58,163,14,"37,326","3,864",Europe
68,Kuwait,"1,405",50,3 ,,206,"1,196",31,329,0.7,,,Asia
69,Iraq,"1,400",,78 ,,766,556,,35,2,"45,437","1,130",Asia
70,Estonia,"1,400",27,35 ,4,117,"1,248",10,"1,055",26,"33,967","25,606",Europe
71,New Zealand,"1,386",20,9 ,,728,649,3,287,2,"66,499","13,790",Australia/Oceania
72,Kazakhstan,"1,290",58,16 ,2,240,"1,034",20,69,0.9,"81,359","4,333",Asia
73,Uzbekistan,"1,275",110,4 ,,107,"1,164",8,38,0.1,"70,000","2,091",Asia
74,Azerbaijan,"1,253",56,13 ,,404,836,24,124,1,"75,397","7,436",Asia
75,Slovenia,"1,248",28,61 ,5,165,"1,022",34,600,29,"37,114","17,852",Europe
76,Bangladesh,"1,231",219,50 ,4,49,"1,132",1,7,0.3,"14,868",90,Asia
77,Armenia,"1,111",44,17 ,1,297,797,30,375,6,"9,095","3,069",Asia
78,Bosnia and Herzegovina,"1,110",27,41 ,1,253,816,4,338,12,"13,339","4,066",Europe
79,Lithuania,"1,091",21,29 ,,138,924,14,401,11,"44,677","16,412",Europe
80,Hong Kong,"1,017",4,4 ,,459,554,10,136,0.5,"116,273","15,509",Asia
81,North Macedonia,974,66,45 ,1,98,831,15,468,22,"9,262","4,446",Europe
82,Oman,910,97,4 ,,131,775,3,178,0.8,,,Asia
83,Slovakia,863,28,6 ,4,151,706,5,158,1,"31,491","5,768",Europe
84,Cameroon,848,,17 ,3,165,666,,32,0.6,,,Africa
85,Cuba,814,48,24 ,3,151,639,9,72,2,"18,634","1,645",North America
86,Afghanistan,784,70,25 ,2,43,716,,20,0.6,,,Asia
87,Bulgaria,747,34,36 ,1,105,606,31,108,5,"18,502","2,663",Europe
88,Tunisia,747,,34 ,,43,670,89,63,3,"12,415","1,050",Africa
89,  ,721,,14,,639,68,7,,,,,
90,Diamond Princess,712,,12 ,,639,61,7,,,,,
91,Cyprus,695,,12 ,,65,618,8,576,10,"17,923","14,845",Asia
92,Andorra,673,14,33 ,2,169,471,17,"8,710",427,"1,673","21,653",Europe
93,Latvia,666,9,5 ,,44,617,3,353,3,"29,896","15,850",Europe
94,Lebanon,658,17,21 ,,81,556,33,96,3,"17,260","2,529",Asia
95,Ivory Coast,638,,6 ,,114,518,,24,0.2,,,Africa
96,Ghana,636,,8 ,,17,611,2,20,0.3,"44,421","1,430",Africa
97,Costa Rica,618,,3 ,,66,549,14,121,0.6,"8,703","1,708",North America
98,Niger,570,,14 ,,90,466,,24,0.6,"4,427",183,Africa
99,Burkina Faso,528,,30 ,,177,321,,25,1,,,Africa
100,Albania,494,19,25 ,1,251,218,5,172,9,"4,558","1,584",Europe
101,Uruguay,492,,8 ,,260,224,14,142,2,"9,929","2,858",South America
102,Kyrgyzstan,449,19,5 ,,78,366,5,69,0.8,"26,147","4,008",Asia
103,Channel Islands,445,5,13 ,,69,363,,"2,559",75,"3,320","19,095",Europe
104,Djibouti,435,72,2 ,,71,362,,440,2,"5,936","6,008",Africa
105,Honduras,419,12,31 ,5,9,379,10,42,3,"1,600",162,North America
106,Guinea,404,41,1 ,1,31,372,,31,0.08,,,Africa
107,Malta,399,6,3 ,,44,352,4,904,7,"19,121","43,305",Europe
108,Bolivia,397,43,28 ,,7,362,3,34,2,"2,185",187,South America
109,Jordan,397,,7 ,,235,155,5,39,0.7,"20,500","2,009",Asia
110,Taiwan,395,2,6 ,,137,252,,17,0.3,"49,748","2,089",Asia
