"TL","Territory Level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"3","Small regions (TL3)","ME12R5","Guerrero, R5","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2019","2019","RATIO","Ratio","0","Units",,,31.29,,
"3","Small regions (TL3)","ME13R3","Hidalgo, R3","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,264.87,,
"3","Small regions (TL3)","ME13R3","Hidalgo, R3","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2019","2019","RATIO","Ratio","0","Units",,,267.69,,
"3","Small regions (TL3)","ME13R5","Hidalgo, R5","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,2353,,
"3","Small regions (TL3)","ME13R5","Hidalgo, R5","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,2353,,
"3","Small regions (TL3)","ME14R1","Jalisco, R1","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,8825,,
"3","Small regions (TL3)","ME14R1","Jalisco, R1","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,8825,,
"3","Small regions (TL3)","ME14R3","Jalisco, R3","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,6965,,
"3","Small regions (TL3)","ME14R3","Jalisco, R3","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,6965,,
"3","Small regions (TL3)","ME15R5","Mexico, R5","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,280.93,,
"3","Small regions (TL3)","ME16R3","Michoacan, R3","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,13192,,
"3","Small regions (TL3)","ME16R3","Michoacan, R3","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,13192,,
"3","Small regions (TL3)","ME18R3","Nayarit, R3","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,31.44,,
"3","Small regions (TL3)","ME18R3","Nayarit, R3","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2019","2019","RATIO","Ratio","0","Units",,,31.88,,
"3","Small regions (TL3)","ME18R5","Nayarit, R5","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,11699,,
"3","Small regions (TL3)","ME18R5","Nayarit, R5","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,11699,,
"2","Large regions (TL2)","ME20","Oaxaca","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,43.76,,
"3","Small regions (TL3)","ME20R4","Oaxaca, R4","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,9401,,
"3","Small regions (TL3)","ME20R4","Oaxaca, R4","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,9401,,
"3","Small regions (TL3)","ME21R4","Puebla, R4","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,2597,,
"3","Small regions (TL3)","ME21R4","Puebla, R4","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,2597,,
"3","Small regions (TL3)","ME21R7","Puebla, R7","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,8359,,
"3","Small regions (TL3)","ME21R7","Puebla, R7","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,8359,,
"3","Small regions (TL3)","ME22R2","Queretaro, R2","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,52.17,,
"3","Small regions (TL3)","ME22R3","Queretaro, R3","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,271.03,,
"3","Small regions (TL3)","ME22R3","Queretaro, R3","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2019","2019","RATIO","Ratio","0","Units",,,274.68,,
"3","Small regions (TL3)","ME23R3","Quintana Roo, R3","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,9.64,,
"2","Large regions (TL2)","ME24","San Luis Potosi","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2019","2019","RATIO","Ratio","0","Units",,,46.55,,
"3","Small regions (TL3)","ME24R1","San Luis Potosi, R1","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,10458,,
"3","Small regions (TL3)","ME24R1","San Luis Potosi, R1","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,10458,,
"3","Small regions (TL3)","ME24R4","San Luis Potosi, R4","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,28427,,
"3","Small regions (TL3)","ME24R4","San Luis Potosi, R4","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,28427,,
"3","Small regions (TL3)","ME25R4","Sinaloa, R4","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2019","2019","RATIO","Ratio","0","Units",,,93.72,,
"3","Small regions (TL3)","ME28R4","Tamaulipas, R4","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,25495,,
"3","Small regions (TL3)","ME28R4","Tamaulipas, R4","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,25495,,
"3","Small regions (TL3)","TR711","Kirikkale","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,61.37,,
"3","Small regions (TL3)","TR904","Rize","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,3913,,
"3","Small regions (TL3)","TR904","Rize","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,3913,,
"3","Small regions (TL3)","TR905","Artvin","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,22.64,,
"3","Small regions (TL3)","TRA13","Bayburt","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,3737,,
"3","Small regions (TL3)","TRA13","Bayburt","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,3737,,
"3","Small regions (TL3)","TRA23","Igdir","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,56.28,,
"3","Small regions (TL3)","TRB12","Elazig","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,8722,,
"3","Small regions (TL3)","TRB12","Elazig","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,8722,,
"3","Small regions (TL3)","TRC12","Adiyaman","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,87.58,,
"3","Small regions (TL3)","TRC22","Diyarbakir","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,113.27,,
"3","Small regions (TL3)","UKD41","Blackburn with Darwen","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,137,,
"3","Small regions (TL3)","UKD41","Blackburn with Darwen","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,137,,
"3","Small regions (TL3)","UKD71","East Merseyside","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,302,,
"3","Small regions (TL3)","UKD71","East Merseyside","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,302,,
"3","Small regions (TL3)","UKE12","East Riding of Yorkshire","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,140.79,,
"3","Small regions (TL3)","UKE22","North Yorkshire CC","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,8038,,
"3","Small regions (TL3)","UKE22","North Yorkshire CC","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,8038,,
"3","Small regions (TL3)","UKE45","Wakefield","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,1005.86,,
"3","Small regions (TL3)","UKF25","North Northamptonshire","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,347.39,,
"3","Small regions (TL3)","UKG21","Telford and Wrekin","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,290,,
"3","Small regions (TL3)","UKG21","Telford and Wrekin","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,290,,
"3","Small regions (TL3)","UKG36","Dudley","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,3259.19,,
"3","Small regions (TL3)","UKG37","Sandwell","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2018","2018","IDX","Index","0","Units","2001_100","2001=100",114.7,,
"3","Small regions (TL3)","UKH21","Luton","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,43,,
"3","Small regions (TL3)","UKH21","Luton","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,43,,
"3","Small regions (TL3)","UKH32","Thurrock","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,1051.7,,
"1","Country","LVA","Latvia","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,63290,,
"3","Small regions (TL3)","LV003","Kurzeme","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,13387,,
"3","Small regions (TL3)","LV003","Kurzeme","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,13387,,
"1","Country","LTU","Lithuania","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,62643,,
"3","Small regions (TL3)","CA1215","Inverness, NS","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,4.55,,
"3","Small regions (TL3)","CA1305","Kings, NB","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,20.21,,
"3","Small regions (TL3)","CA2408","Matane, QC","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,3318,,
"3","Small regions (TL3)","CA2408","Matane, QC","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,3318,,
"3","Small regions (TL3)","CA2427","Robert-Cliche, QC","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,22.87,,
"3","Small regions (TL3)","CA2437","Francheville, QC","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,134.1,,
"3","Small regions (TL3)","CA2445","Memphrémagog, QC","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,39.11,,
"3","Small regions (TL3)","CA2446","Brome-Missisquoi, QC","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,36.56,,
"3","Small regions (TL3)","CA2450","Nicolet-Yamaska, QC","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,23.52,,
"3","Small regions (TL3)","CA2456","Le Haut-Richelieu, QC","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,936,,
"3","Small regions (TL3)","CA2456","Le Haut-Richelieu, QC","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,936,,
"3","Small regions (TL3)","CA2465","Laval, QC","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,247,,
"3","Small regions (TL3)","CA2465","Laval, QC","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,247,,
"3","Small regions (TL3)","CA2466","Communauté-Urbaine-de-Montréal, QC","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,4044.79,,
"3","Small regions (TL3)","CA2468","Les Jardins-de-Napierville, QC","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,37.43,,
"3","Small regions (TL3)","CA2475","La Rivière-du-Nord, QC","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,297.37,,
"3","Small regions (TL3)","CA2483","La Vallée-de-la-Gatineau, QC","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,1.64,,
"3","Small regions (TL3)","CA2499","Nord-du-Québec, QC","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,747192,,
"3","Small regions (TL3)","CA2499","Nord-du-Québec, QC","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,747192,,
"3","Small regions (TL3)","HU323","Szabolcs-Szatmár-Bereg","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,5855,,
"3","Small regions (TL3)","HU323","Szabolcs-Szatmár-Bereg","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,5855,,
"3","Small regions (TL3)","IS011","Capital Region","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2018","2018","IDX","Index","0","Units","2001_100","2001=100",126.8,,
"3","Small regions (TL3)","IS011","Capital Region","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2019","2019","IDX","Index","0","Units","2001_100","2001=100",130.1,,
"3","Small regions (TL3)","IS022","Western Region","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2018","2018","IDX","Index","0","Units","2001_100","2001=100",114,,
"3","Small regions (TL3)","IS022","Western Region","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2019","2019","IDX","Index","0","Units","2001_100","2001=100",115.3,,
"3","Small regions (TL3)","IS024","Northwestern Region","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2018","2018","IDX","Index","0","Units","2001_100","2001=100",90.3,,
"3","Small regions (TL3)","IS024","Northwestern Region","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2019","2019","IDX","Index","0","Units","2001_100","2001=100",91.9,,
"3","Small regions (TL3)","IS025","Southern Region","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2018","2018","IDX","Index","0","Units","2001_100","2001=100",123.2,,
"3","Small regions (TL3)","IS025","Southern Region","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2019","2019","IDX","Index","0","Units","2001_100","2001=100",126.3,,
"3","Small regions (TL3)","IS026","Northeastern Region","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2018","2018","IDX","Index","0","Units","2001_100","2001=100",108.6,,
"3","Small regions (TL3)","IS026","Northeastern Region","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2019","2019","IDX","Index","0","Units","2001_100","2001=100",108.6,,
"3","Small regions (TL3)","IS027","Austurland","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2018","2018","IDX","Index","0","Units","2001_100","2001=100",109.5,,
"3","Small regions (TL3)","IS027","Austurland","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2019","2019","IDX","Index","0","Units","2001_100","2001=100",111.9,,
"3","Small regions (TL3)","ME32R4","Zacatecas, R4","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,39.98,,
"3","Small regions (TL3)","ME32R4","Zacatecas, R4","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2019","2019","RATIO","Ratio","0","Units",,,40.28,,
"3","Small regions (TL3)","ME32R9","Zacatecas, R9","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,4239,,
"3","Small regions (TL3)","ME32R9","Zacatecas, R9","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,4239,,
"2","Large regions (TL2)","NL11","Groningen","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2019","2019","RATIO","Ratio","0","Units",,,247.45,,
"2","Large regions (TL2)","NL11","Groningen","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2019","2019","IDX","Index","0","Units","2001_100","2001=100",103.1,,
"2","Large regions (TL2)","NL22","Gelderland","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","ALL","All regions","2019","2019","IDX","Index","0","Units","2001_100","2001=100",107.1,,
"2","Large regions (TL2)","NL32","North Holland","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2019","2019","RATIO","Ratio","0","Units",,,1036.45,,
"2","Large regions (TL2)","NL33","South Holland","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,2884,,
"3","Small regions (TL3)","NZ011","Northland Region","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,11840,,
"3","Small regions (TL3)","NZ011","Northland Region","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,11840,,
"3","Small regions (TL3)","PL214","Krakowski","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,4028,,
"3","Small regions (TL3)","PL214","Krakowski","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,4028,,
"3","Small regions (TL3)","PL224","Czestochowski","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,168.63,,
"3","Small regions (TL3)","PL411","Pilski","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,63.68,,
"3","Small regions (TL3)","PL416","Kaliski","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,115.59,,
"3","Small regions (TL3)","PL417","Leszczynski","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,93.53,,
"3","Small regions (TL3)","PL514","City of Wroclaw","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,286,,
"3","Small regions (TL3)","PL514","City of Wroclaw","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,286,,
"2","Large regions (TL2)","UKJ","South East England","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,19075,,
"3","Small regions (TL3)","UKJ21","Brighton and Hove","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,83,,
"3","Small regions (TL3)","UKJ21","Brighton and Hove","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,83,,
"3","Small regions (TL3)","UKK11","Bristol, City of","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,4208.53,,
"3","Small regions (TL3)","UKK21","Bournemouth and Poole","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,111,,
"3","Small regions (TL3)","UKK21","Bournemouth and Poole","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,111,,
"3","Small regions (TL3)","UKK23","Somerset","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,3451,,
"3","Small regions (TL3)","UKK23","Somerset","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,3451,,
"3","Small regions (TL3)","UKL14","South West Wales","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,66.77,,
"3","Small regions (TL3)","UKL15","Central Valleys","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,536,,
"3","Small regions (TL3)","UKL15","Central Valleys","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,536,,
"2","Large regions (TL2)","US06","California","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,403933,,
"2","Large regions (TL2)","US06","California","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,403933,,
"2","Large regions (TL2)","US17","Illinois","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,143961,,
"2","Large regions (TL2)","US17","Illinois","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,143961,,
"2","Large regions (TL2)","US31","Nebraska","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,199099,,
"2","Large regions (TL2)","US31","Nebraska","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,199099,,
"3","Small regions (TL3)","US004","Albany-Schenectady-Amsterdam, NY","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,25989,,
"3","Small regions (TL3)","US004","Albany-Schenectady-Amsterdam, NY","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,25989,"E","Estimated value"
"3","Small regions (TL3)","US006","Alpena, MI","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,14.72,,
"2","Large regions (TL2)","RU74","Tomsk Oblast","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,314400,,
"2","Large regions (TL2)","RU74","Tomsk Oblast","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,314400,,
"2","Large regions (TL2)","RU76","Kamchatka Krai","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,464300,,
"2","Large regions (TL2)","RU76","Kamchatka Krai","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,464300,,
"2","Large regions (TL2)","ZA03","Gauteng","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,16539,,
"2","Large regions (TL2)","ZA03","Gauteng","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,16539,,
"3","Small regions (TL3)","CA3536","Chatham-Kent, ON","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,2471,,
"3","Small regions (TL3)","CA3536","Chatham-Kent, ON","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,2471,,
"3","Small regions (TL3)","CA3539","Middlesex, ON","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,148.97,,
"3","Small regions (TL3)","CA3547","Renfrew, ON","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,14.25,,
"3","Small regions (TL3)","CA4615","Division 15, MB","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,2.47,,
"3","Small regions (TL3)","CA4617","Division 17, MB","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,1.63,,
"3","Small regions (TL3)","CA4618","Division 18, MB","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,11332,,
"3","Small regions (TL3)","CA4618","Division 18, MB","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,11332,,
"3","Small regions (TL3)","CA4620","Division 20, MB","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,9869,,
"3","Small regions (TL3)","CA4620","Division 20, MB","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,9869,,
"3","Small regions (TL3)","CA4622","Division 22, MB","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,0.48,,
"3","Small regions (TL3)","CA4713","Division 13, SK","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,1.36,,
"3","Small regions (TL3)","CA4718","Division 18, SK","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,0.14,,
"3","Small regions (TL3)","CA4802","Division 2, AB","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,17673,,
"3","Small regions (TL3)","CA4802","Division 2, AB","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,17673,,
"3","Small regions (TL3)","CA4809","Division 9, AB","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,1.12,,
"3","Small regions (TL3)","CA4816","Division 16, AB","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,0.79,,
"3","Small regions (TL3)","CA5907","Okanagan-Similkameen, BC","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,10412,,
"3","Small regions (TL3)","CA5907","Okanagan-Similkameen, BC","SURF","    Regional surface","T","Total","ALL","All regions","2019","2019","KM2","Square kilometres","0","Units",,,10412,,
"3","Small regions (TL3)","CA5927","Powell River, BC","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,4.14,,
"3","Small regions (TL3)","CA5949","Kitimat-Stikine, BC","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,0.37,,
