"TL","Territory Level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","CZ07","Central Moravia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,133.34,,
"2","Large regions (TL2)","DK01","Capital City Region","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,2435,,
"2","Large regions (TL2)","DK04","Central Jutland","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,12767,,
"2","Large regions (TL2)","FI1B","Helsinki-Uusimaa","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,9097,,
"2","Large regions (TL2)","FI1B","Helsinki-Uusimaa","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,182,,
"1","Country","LUX","Luxembourg","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,2586,,
"2","Large regions (TL2)","LU00","Luxembourg","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,2586,,
"2","Large regions (TL2)","LU00","Luxembourg","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,232.79,,
"2","Large regions (TL2)","ES52","Valencia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,213.8,,
"2","Large regions (TL2)","ES70","Canary Islands","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,293.32,,
"2","Large regions (TL2)","SE11","Stockholm","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,6524,,
"2","Large regions (TL2)","EL54","Epirus","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,9073,,
"2","Large regions (TL2)","EL54","Epirus","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,36.85,,
