,Data Type,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05
0,Current Active Cases (Linear),563,786,1238,1910,2669,4415,5823,7519,9439,11448,13921,16525,19561,23146,26528,29239,32069,34055,36320,38038,39216,52039,56247,57378,57990,58581,58747,58622,57217,55906,54418,53541,51596,49922,48014,46215,43734,42262,41297,40413,39218,38870,38505,39433,40947,42328,43886,46300,48031,53279,59168,67413,74717,85538,95640,107556,124459,146709,172591,196473,224192,260248,294801,335525,383850,435964,490313,538013,581580,637935,693875,749738,829184,890328,938870
1,Closed Cases - Death Rate,0,0,0,0,0,0,0,0,0,0,0,41.7999999999999971578290569595992565155029296875,39.85000000000000142108547152020037174224853515625,35.1700000000000017053025658242404460906982421875,32.50999999999999801048033987171947956085205078125,29,25.78999999999999914734871708787977695465087890625,23.25,21.5,20.1099999999999994315658113919198513031005859375,18.839999999999999857891452847979962825775146484375,17.39999999999999857891452847979962825775146484375,16.879999999999999005240169935859739780426025390625,15.699999999999999289457264239899814128875732421875,14.8900000000000005684341886080801486968994140625,13.9199999999999999289457264239899814128875732421875,12.839999999999999857891452847979962825775146484375,12.1300000000000007815970093361102044582366943359375,11.5,10.82000000000000028421709430404007434844970703125,10.1500000000000003552713678800500929355621337890625,9.800000000000000710542735760100185871124267578125,9.480000000000000426325641456060111522674560546875,8.949999999999999289457264239899814128875732421875,8.4199999999999999289457264239899814128875732421875,7.86000000000000031974423109204508364200592041015625,7.2599999999999997868371792719699442386627197265625,6.9000000000000003552713678800500929355621337890625,6.57000000000000028421709430404007434844970703125,6.3300000000000000710542735760100185871124267578125,6.0800000000000000710542735760100185871124267578125,5.910000000000000142108547152020037174224853515625,5.78000000000000024868995751603506505489349365234375,5.7400000000000002131628207280300557613372802734375,5.71999999999999975131004248396493494510650634765625,5.63999999999999968025576890795491635799407958984375,5.79000000000000003552713678800500929355621337890625,5.910000000000000142108547152020037174224853515625,6.05999999999999960920149533194489777088165283203125,6.3499999999999996447286321199499070644378662109375,6.61000000000000031974423109204508364200592041015625,6.95999999999999996447286321199499070644378662109375,7.12999999999999989341858963598497211933135986328125,7.7599999999999997868371792719699442386627197265625,8.25,8.8100000000000004973799150320701301097869873046875,9.4900000000000002131628207280300557613372802734375,10.21000000000000085265128291212022304534912109375,11.0600000000000004973799150320701301097869873046875,11.9900000000000002131628207280300557613372802734375,12.92999999999999971578290569595992565155029296875,13.92999999999999971578290569595992565155029296875,14.78999999999999914734871708787977695465087890625,15.71000000000000085265128291212022304534912109375,16.260000000000001563194018672220408916473388671875,17.050000000000000710542735760100185871124267578125,17.8599999999999994315658113919198513031005859375,18.379999999999999005240169935859739780426025390625,18.589999999999999857891452847979962825775146484375,19.190000000000001278976924368180334568023681640625,19.559999999999998721023075631819665431976318359375,20.03999999999999914734871708787977695465087890625,20.489999999999998436805981327779591083526611328125,20.78999999999999914734871708787977695465087890625,20.780000000000001136868377216160297393798828125
2,Closed Cases - Recovery Rate,0,0,0,0,0,0,0,0,0,0,0,58.2000000000000028421709430404007434844970703125,60.14999999999999857891452847979962825775146484375,64.8299999999999982946974341757595539093017578125,67.4899999999999948840923025272786617279052734375,71,74.2099999999999937472239253111183643341064453125,76.75,78.5,79.8900000000000005684341886080801486968994140625,81.159999999999996589394868351519107818603515625,82.599999999999994315658113919198513031005859375,83.1200000000000045474735088646411895751953125,84.2999999999999971578290569595992565155029296875,85.1099999999999994315658113919198513031005859375,86.0799999999999982946974341757595539093017578125,87.159999999999996589394868351519107818603515625,87.8700000000000045474735088646411895751953125,88.5,89.18000000000000682121026329696178436279296875,89.849999999999994315658113919198513031005859375,90.2000000000000028421709430404007434844970703125,90.5199999999999960209606797434389591217041015625,91.0499999999999971578290569595992565155029296875,91.5799999999999982946974341757595539093017578125,92.1400000000000005684341886080801486968994140625,92.7399999999999948840923025272786617279052734375,93.099999999999994315658113919198513031005859375,93.43000000000000682121026329696178436279296875,93.6700000000000017053025658242404460906982421875,93.9200000000000017053025658242404460906982421875,94.090000000000003410605131648480892181396484375,94.219999999999998863131622783839702606201171875,94.2600000000000051159076974727213382720947265625,94.280000000000001136868377216160297393798828125,94.3599999999999994315658113919198513031005859375,94.2099999999999937472239253111183643341064453125,94.090000000000003410605131648480892181396484375,93.93999999999999772626324556767940521240234375,93.650000000000005684341886080801486968994140625,93.3900000000000005684341886080801486968994140625,93.0400000000000062527760746888816356658935546875,92.8700000000000045474735088646411895751953125,92.2399999999999948840923025272786617279052734375,91.75,91.18999999999999772626324556767940521240234375,90.5100000000000051159076974727213382720947265625,89.7900000000000062527760746888816356658935546875,88.93999999999999772626324556767940521240234375,88.0100000000000051159076974727213382720947265625,87.06999999999999317878973670303821563720703125,86.06999999999999317878973670303821563720703125,85.2099999999999937472239253111183643341064453125,84.2900000000000062527760746888816356658935546875,83.7399999999999948840923025272786617279052734375,82.9500000000000028421709430404007434844970703125,82.1400000000000005684341886080801486968994140625,81.6200000000000045474735088646411895751953125,81.409999999999996589394868351519107818603515625,80.81000000000000227373675443232059478759765625,80.43999999999999772626324556767940521240234375,79.9599999999999937472239253111183643341064453125,79.5100000000000051159076974727213382720947265625,79.2099999999999937472239253111183643341064453125,79.219999999999998863131622783839702606201171875
3,Cumulative Confirmed (Logarithmic),580,845,1317,2015,2800,4581,6058,7813,9823,11950,14553,17391,20630,24545,28266,31439,34876,37552,40553,43099,45134,59287,64438,67100,69197,71329,73332,75184,75700,76677,77673,78651,79205,80087,80828,81820,83112,84615,86604,88585,90443,93016,95314,98425,102050,106099,109991,114381,118948,126214,134509,145416,156475,169511,182431,198159,218744,244902,275550,304979,337459,378830,422574,471035,531865,596366,663127,723390,784741,858361,935232,1015096,1116662,1201483,1272901
4,Cumulative Confirmed (Linear),580,845,1317,2015,2800,4581,6058,7813,9823,11950,14553,17391,20630,24545,28266,31439,34876,37552,40553,43099,45134,59287,64438,67100,69197,71329,73332,75184,75700,76677,77673,78651,79205,80087,80828,81820,83112,84615,86604,88585,90443,93016,95314,98425,102050,106099,109991,114381,118948,126214,134509,145416,156475,169511,182431,198159,218744,244902,275550,304979,337459,378830,422574,471035,531865,596366,663127,723390,784741,858361,935232,1015096,1116662,1201483,1272901
5,Cumulative Deaths (Logarithmic),17,25,41,56,80,106,132,170,213,259,304,362,426,492,565,638,724,813,910,1018,1115,1261,1383,1526,1669,1775,1873,2009,2126,2247,2360,2460,2618,2699,2763,2800,2858,2923,2977,3050,3117,3202,3285,3387,3494,3599,3827,4025,4296,4628,4981,5428,5833,6520,7162,7979,8951,10030,11386,13011,14640,16513,18894,21282,24073,27343,30861,34065,37774,42309,47198,53177,58891,64690,69427
6,Cumulative Deaths (Linear),17,25,41,56,80,106,132,170,213,259,304,362,426,492,565,638,724,813,910,1018,1115,1261,1383,1526,1669,1775,1873,2009,2126,2247,2360,2460,2618,2699,2763,2800,2858,2923,2977,3050,3117,3202,3285,3387,3494,3599,3827,4025,4296,4628,4981,5428,5833,6520,7162,7979,8951,10030,11386,13011,14640,16513,18894,21282,24073,27343,30861,34065,37774,42309,47198,53177,58891,64690,69427
