,Country,Data Type,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30
200,Israel,Closed Cases - Death Rate,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,"""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,2.70000000000000017763568394002504646778106689453125,2.62999999999999989341858963598497211933135986328125,2.37999999999999989341858963598497211933135986328125,5.36000000000000031974423109204508364200592041015625,7.94000000000000039079850466805510222911834716796875,10.5299999999999993605115378159098327159881591796875,13.1899999999999995026200849679298698902130126953125,11.8800000000000007815970093361102044582366943359375,10.199999999999999289457264239899814128875732421875,9.03999999999999914734871708787977695465087890625
201,Israel,Closed Cases - Recovery Rate,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,"""nan""","""nan""","""nan""","""nan""",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93.75,97.2999999999999971578290569595992565155029296875,97.3700000000000045474735088646411895751953125,97.6200000000000045474735088646411895751953125,94.6400000000000005684341886080801486968994140625,92.06000000000000227373675443232059478759765625,89.469999999999998863131622783839702606201171875,86.81000000000000227373675443232059478759765625,88.1200000000000045474735088646411895751953125,89.7999999999999971578290569595992565155029296875,90.9599999999999937472239253111183643341064453125
202,Israel,Cumulative Confirmed (Logarithmic),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2,3,7,7,10,12,12,15,17,21,25,39,50,75,97,109,143,193,213,298,337,433,677,705,883,1071,1442,1930,2369,2693,3035,3619,4247,4695
203,Israel,Cumulative Confirmed (Linear),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2,3,7,7,10,12,12,15,17,21,25,39,50,75,97,109,143,193,213,298,337,433,677,705,883,1071,1442,1930,2369,2693,3035,3619,4247,4695
204,Israel,Daily New Active Cases,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,0,1,0,0,0,1,4,0,3,2,0,3,2,4,4,14,11,25,22,12,34,50,20,85,39,96,244,28,178,188,371,488,439,324,342,584,628,448
205,Israel,Daily Current Active Cases,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2,3,6,6,9,11,11,14,15,19,22,36,46,71,93,105,139,189,209,294,326,422,663,689,846,1033,1400,1874,2306,2617,2944,3518,4100,4518
206,Israel,Cumulative Deaths (Logarithmic),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,8,12,12,15,16
207,Israel,Cumulative Deaths (Linear),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,8,12,12,15,16
208,Israel,Daily New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,4,0,3,1
209,Israel,Daily New Case & Recoveries - New Recoveries,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,7,0,3,1,21,1,4,12,5,10,11,10,43,29
