,GCM,var,scenario,from_year,to_year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Country,Invalid country code. Three letters are required
0,bccr_bcm2_0,tas,a2,2020.0,2039.0,-2.767196655,-0.548585002,4.159680176,10.80602519,16.37875468,21.38659159,23.97285868,22.53887329,17.72966309,11.32248433,4.7981740319999995,-0.6308659870000001, Afghanistan,
1,bccr_bcm2_0,tas,b1,2020.0,2039.0,-2.935413615,-0.35558471700000005,3.73423055,10.61583252,16.29979858,21.13093465,24.28395081,22.804050699999998,18.46283468,11.15013123,4.614171346,-1.764796448, Afghanistan,
2,cccma_cgcm3_1,tas,a2,2020.0,2039.0,-4.866077677,-2.109072367,2.8020243330000003,8.486845907000001,16.61204936,24.77713623,27.91190898,25.7006073,20.13118388,11.98762512,3.9718210860000003,-2.7908996580000003, Afghanistan,
3,cccma_cgcm3_1,tas,b1,2020.0,2039.0,-4.699487305,-2.254702759,2.709292603,9.143435669,17.11744792,24.87913513,27.18329875,24.99513652,19.5410085,11.28089396,3.3015238439999997,-3.3905334469999997, Afghanistan,
4,cnrm_cm3,tas,a2,2020.0,2039.0,-1.2374847409999998,1.867352295,6.71124471,11.8748291,17.17236125,21.3532369,23.892193600000002,22.520407100000003,17.89171956,11.3669047,4.781469727,0.173108927, Afghanistan,
5,cnrm_cm3,tas,b1,2020.0,2039.0,-1.0440429690000002,1.610624186,6.612956746,12.0691925,16.93905436,21.37621969,23.80039164,22.47567139,17.71283468,11.81232605,4.730516561,-0.388572184, Afghanistan,
6,csiro_mk3_5,tas,a2,2020.0,2039.0,0.17827606199999999,3.438460286,8.587317912,14.12706197,19.92721863,25.56806641,27.94005636,26.45871379,20.09446411,13.30660095,6.010949707000001,-0.29024353, Afghanistan,
7,csiro_mk3_5,tas,b1,2020.0,2039.0,19.98176676,25.24847005,27.74947306,26.28118591,20.05648499,13.01464437,5.797250366,-0.167672729,-0.528637695,2.707476807,8.226534017,14.42271627, Afghanistan,
8,gfdl_cm2_0,tas,a2,2020.0,2039.0,-3.8962412516251588,-0.4898844401057936,3.4573333740217995,8.99618530273137,14.505485026042864,21.730856323237056,24.928953043618012,22.34535522461033,17.68220520018907,11.150149536136665,2.4667714436809334,-3.4687194824237366, Afghanistan,
9,gfdl_cm2_0,tas,b1,2020.0,2039.0,-3.7891977945961033,-0.7760167439762334,3.6313486735041343,8.337116495768932,13.933408610026795,21.254953002925124,25.534519449872327,22.930757649730005,17.213691202798394,10.464342244466064,2.7239461263011004,-2.7979777018212366, Afghanistan,
10,gfdl_cm2_1,tas,a2,2020.0,2039.0,-2.5174616495776334,0.6378992716491003,5.298098754880666,10.619677734374667,17.660970052078664,24.27972106933867,26.063328043624665,23.61960144042467,18.815036010742336,11.065617879234066,3.400249226887633,-0.9684315999403535, Afghanistan,
11,gfdl_cm2_1,tas,b1,2020.0,2039.0,-2.0355331420859,0.4191660563138532,5.660231526692332,10.872113037108798,17.14541320801323,24.072061157224173,25.468849690753675,23.86228637694867,18.961537679037,10.860575358068797,3.1886789957631327,-0.8585362752242001, Afghanistan,
12,ingv_echam4,tas,a2,2020.0,2039.0,-1.0054545084622333,1.1459304809591668,7.540950520826434,15.034153238924999,21.517789713528327,26.265447998049698,28.093027750645994,26.466362508138666,21.757383219401692,14.484068806963133,6.588398234045497,0.644491577150967, Afghanistan,
13,inmcm3_0,tas,a2,2020.0,2039.0,-3.3485819498663334,0.2306172688827001,6.570401000976468,11.222532145179567,15.654525756835664,19.550910441083328,21.925505574549998,20.616112263986672,14.862891642251663,9.1725524902376,2.2752634684243334,-2.253856404624187, Afghanistan,
14,inmcm3_0,tas,b1,2020.0,2039.0,-3.973412068685717,0.16180318196446614,5.3727467854810325,10.8863230387324,15.710210164386332,19.027515665686995,21.740749104813336,20.262099202479998,14.915719604488338,8.487339274093902,2.5471232096347003,-2.9523305257145203, Afghanistan,
15,ipsl_cm4,tas,a2,2020.0,2039.0,-2.1387369791679003,0.5817687988305458,4.167554728186167,9.371188354484367,15.148469034836967,20.664780680339,22.753900146481328,21.945866902661987,17.971466064453995,12.7557078043577,5.261452229821599,-0.6422810872399602, Afghanistan,
16,ipsl_cm4,tas,b1,2020.0,2039.0,-1.6969797770219337,-0.1422465006506668,4.476544189449699,10.940210978186967,16.672942097980133,21.374473063145,22.903944905602327,21.648134358729333,18.144721476237333,12.043187459304242,4.804308064779001,-0.3189900716177339, Afghanistan,
17,miroc3_2_medres,tas,a2,2020.0,2039.0,1.6023040771474002,3.436557006832834,8.583970133460332,15.067934163418734,21.612700398760662,27.93614501953001,30.561126708983334,29.720719401043333,24.216103108716663,15.393270874021999,7.890018717449533,2.2320739746096, Afghanistan,
18,miroc3_2_medres,tas,b1,2020.0,2039.0,0.9292063395164668,3.9787007649709656,8.208793131508,15.258303833011166,20.821715291344336,27.79381510416,30.821754964183334,29.375916544596674,24.433128865560004,15.105873616536664,7.0541605631517355,2.333461507161287, Afghanistan,
19,miub_echo_g,tas,a2,2020.0,2039.0,-2.839215087893967,-1.0459177652999334,4.300376383463034,10.189981079100145,14.581556193036466,20.59638773599966,23.963906860347013,23.155352783198676,18.23839518229366,11.173442586266301,5.163624064125667,-0.12263997395722193, Afghanistan,
20,miub_echo_g,tas,b1,2020.0,2039.0,-2.9273559570322334,-0.7078470865920669,3.9790964762383,9.4119608561199,14.720565795894036,20.16386413574033,23.270016479495663,22.553954060868,17.89465942382867,11.294979858398369,4.893675740558733,-0.08849792480589974, Afghanistan,
21,mpi_echam5,tas,a2,2020.0,2039.0,-0.2507710774748937,3.3519510904958,9.255066935223663,15.29230448405567,21.632539876301664,26.105279541018664,27.374613444016,26.225588989247328,21.13217264810733,14.540877278644034,7.227070109043999,1.6789174397792332, Afghanistan,
22,mpi_echam5,tas,b1,2020.0,2039.0,0.012674967447299916,2.7404927571661326,8.910792032879668,15.051110839835665,21.491454060868396,25.902027384439673,27.44850870767567,25.956826782228998,21.100836181634666,14.569145711268199,7.361610921225334,1.6304494222016337, Afghanistan,
23,mri_cgcm2_3_2a,tas,a2,2020.0,2039.0,-1.4681538899751168,1.5259501139317664,6.215213012695867,11.965998331704002,17.470328776041335,20.910170491533677,23.959998575846672,22.694862874353337,17.897536214199327,11.997109985356332,5.5398010253915135,-0.16163736979340032, Afghanistan,
24,mri_cgcm2_3_2a,tas,b1,2020.0,2039.0,-1.6443450927729664,1.1709584554038,6.038864135741174,11.726828002927064,17.64591064451799,21.132346598307997,24.350978597000005,22.52263387044001,17.15533955891867,11.993683878576,6.285719807946366,0.05963745117116689, Afghanistan,
25,ukmo_hadcm3,tas,a2,2020.0,2039.0,-1.7175638834611031,0.7126475016218465,7.283919270831133,13.208520507806568,19.179651896149963,24.661012776686334,26.269700113930334,23.739468383793,17.8098103841103,11.909184773766668,5.015186564131733,0.033901977537700155, Afghanistan,
26,ukmo_hadcm3,tas,b1,2020.0,2039.0,-1.8222732543984796,1.1514526367223998,7.026463826493799,12.124450683601802,17.9842519124361,23.94590352375767,26.049757893883328,23.564665730798332,17.808192952473732,11.755277506507332,3.7594645182332327,-1.0315567016629, Afghanistan,
27,ukmo_hadgem1,tas,a2,2020.0,2039.0,-4.977447509767959,-2.5987452189132996,3.1956415812173997,10.452723185213332,15.488586425774699,20.116775512695668,23.091348266611014,21.35506591797033,15.471454874663966,9.4372172037726,1.9999409993485997,-3.375896708172813, Afghanistan,
28,bccr_bcm2_0,tas,a2,2020.0,2039.0,3.984985352,3.737365723,5.609039307000001,10.04863485,15.60671997,21.4937439,24.56646729,24.31346639,18.51425171,13.19509888,8.677062988,5.584177652999999, Albania,
29,bccr_bcm2_0,tas,b1,2020.0,2039.0,3.8672790530000003,3.8502502439999997,5.3802693679999996,9.752278646,14.92469279,21.15384928,25.14144897,24.44749959,18.40001424,13.741038,8.38655599,6.50700887, Albania,
30,cccma_cgcm3_1,tas,a2,2020.0,2039.0,4.004638672,5.586690267000001,6.945281982000001,10.63617961,14.73116048,19.80212402,23.77990723,23.88916016,19.35623169,13.7373759,8.55170695,6.132507324, Albania,
31,cccma_cgcm3_1,tas,b1,2020.0,2039.0,3.7996826169999998,4.394195557,7.080190022999999,10.18568929,14.36210124,19.35088094,23.58729045,23.47826131,19.19165039,13.74005127,8.474253337,6.0321248370000005, Albania,
32,cnrm_cm3,tas,a2,2020.0,2039.0,5.349782308,4.810709635,6.680348714,9.896535238,14.72309367,21.69917806,25.86569214,25.72536214,20.07088216,14.12444051,9.43049113,6.681793213, Albania,
33,cnrm_cm3,tas,b1,2020.0,2039.0,5.203765869,5.095835368,6.713948567999999,9.646697997999999,15.57811483,22.71851603,26.60054525,26.72532145,20.18474325,13.78973389,9.760854085,6.948384602999999, Albania,
34,csiro_mk3_5,tas,a2,2020.0,2039.0,11.8026123,11.82468669,13.26482137,16.50512695,21.45080566,27.84605916,31.62703451,30.7043457,25.53692627,19.11394246,14.810943599999998,12.40579224, Albania,
35,csiro_mk3_5,tas,b1,2020.0,2039.0,21.06144206,27.20986938,31.16190592,30.40901693,25.63868205,18.80001831,14.42734782,12.49799601,11.53214518,11.96611532,13.42980957,16.08703613, Albania,
36,gfdl_cm2_0,tas,a2,2020.0,2039.0,3.3372294108033334,3.7952473958333335,5.539184570313335,9.40807088215,13.932973225933333,17.849263509133333,21.621897379566665,21.933756510433327,16.8530069987,11.31440226238,6.978841145833332,4.86439005534, Albania,
37,gfdl_cm2_0,tas,b1,2020.0,2039.0,3.38602701823,2.983378092446667,4.99141438802,8.666381835929997,13.8477783203,19.070607503266668,21.8686319987,21.365732828766667,16.617563883433334,11.768544514966663,7.996938069669999,4.879180908203335, Albania,
38,gfdl_cm2_1,tas,a2,2020.0,2039.0,5.652760823566665,4.755818684896666,6.81059773763,9.535257975266667,14.256184895833336,19.957316080733328,24.564280192066676,24.08659871416667,18.857350667333336,12.436004638666668,8.38821411132,6.781188964843333, Albania,
39,gfdl_cm2_1,tas,b1,2020.0,2039.0,4.956858317056668,5.275431315103334,6.750610351563335,9.25637817383,14.313385009766668,19.457255045566672,25.083679199200002,24.36591593423333,19.325378417966665,13.647755940766663,9.46780395508,6.42339070638, Albania,
40,ingv_echam4,tas,a2,2020.0,2039.0,3.9434712727866663,4.9373677571600005,7.7921244303399995,11.91307576496,17.771779378266668,23.8423868815,28.8006998698,29.019663492833327,22.085296630866665,14.826812744133337,8.983774820973332,5.6176961263033345, Albania,
41,inmcm3_0,tas,a2,2020.0,2039.0,8.591756184896669,9.105773925783334,10.866322835306669,14.507039388033336,18.7231140137,23.762105305999995,27.54473876953333,26.892649332666675,21.14435831703333,15.050242106133338,11.089040120446668,8.625874837236665, Albania,
42,inmcm3_0,tas,b1,2020.0,2039.0,8.366271972653331,9.3863728841,10.956766764336667,14.354929606099999,18.60430908203333,24.010142008466673,27.04745483396667,26.808054606133336,20.854115804033327,15.098836262999999,10.95565795901,8.879201253266666, Albania,
43,ipsl_cm4,tas,a2,2020.0,2039.0,5.350423177083333,6.479919433593333,9.029927571603334,12.150797526066668,16.272745768233335,21.006968180333335,24.372202555366673,23.850392659533334,19.606140136700002,14.697397867833333,10.247853596996665,6.7940063476566666, Albania,
44,ipsl_cm4,tas,b1,2020.0,2039.0,4.948069254556668,6.233998616539999,8.534322102866668,11.805847167966665,16.377543131533333,21.0585530599,23.640879313166668,23.91474405923333,20.35634358723333,14.798797607433336,9.957122802736668,6.76230875651, Albania,
45,miroc3_2_medres,tas,a2,2020.0,2039.0,7.873606363933335,8.173695882159999,10.315256754559998,14.0434366862,18.4571431478,23.95610555013333,27.83057657876667,26.511027018233328,21.4394632975,16.166859944633337,12.067667643233333,9.61299641927, Albania,
46,miroc3_2_medres,tas,b1,2020.0,2039.0,8.54409790039,7.864501953126668,9.985514322903336,13.889475504566667,17.9126281738,23.748413085966664,27.39434814453333,26.829884847,20.841206868466667,16.082845052066666,12.336334228533337,9.605509440103331, Albania,
47,miub_echo_g,tas,a2,2020.0,2039.0,6.8962198893233335,7.535207112633334,8.834635416663334,11.8326517741,15.496480306033337,19.6503397624,22.82034301756667,23.349538167333325,20.377644856766672,16.566274007133337,11.8424275716,8.25538126629, Albania,
48,miub_echo_g,tas,b1,2020.0,2039.0,6.0151570638,6.607259114583332,8.38677978515667,11.461568196613332,15.101104736333332,19.2630208333,23.1402791341,23.5274251302,20.8000691732,16.391316731766665,11.071187337243332,7.962890625, Albania,
